X,Y,POINT_X,POINT_Y,dtm10mUTM3
636091.40017185768,5100347.2188027818,636091.40017200005,5100347.21879999990,506.00000
634532.68887120299,5101093.442790553,634532.68887099996,5101093.44278999980,1141.00000
632423.58524340915,5110724.2311955085,632423.58524299995,5110724.23120000030,2206.00000
636822.42471009318,5098187.0278601814,636822.42471000005,5098187.02785999980,1035.00000
636190.65766577143,5109488.6337846974,636190.65766599996,5109488.63377999980,767.00000
637183.8299697364,5113055.7293509729,637183.82996999996,5113055.72934999970,1080.00000
633013.03057201277,5106106.3365176059,633013.03057199996,5106106.33652000040,956.00000
633372.25007627695,5107017.021890901,633372.25007600000,5107017.02189000040,1060.00000
639139.76170113368,5100645.253830051,639139.76170100004,5100645.25382999980,1137.00000
631921.0726147528,5096059.081785934,631921.07261499995,5096059.08179000020,833.00000
631173.48896009882,5098421.1401426001,631173.48895999999,5098421.14013999980,1319.00000
639850.82601751236,5101557.5617847564,639850.82601800002,5101557.56178000010,462.00000
630131.28473366168,5111645.082893068,630131.28473399999,5111645.08289000020,1708.00000
640512.90522693226,5112146.1708873017,640512.90522700001,5112146.17088999970,1932.00000
632037.89885840495,5110805.6738196015,632037.89885799994,5110805.67382000010,2005.00000
635264.53649620432,5095866.6007325752,635264.53649600002,5095866.60073000010,1778.00000
630254.69362874469,5113408.3764205035,630254.69362899999,5113408.37641999960,1294.00000
634679.03140787,5103576.7816489069,634679.03140800004,5103576.78165000030,1253.00000
634300.92609200883,5106916.528293239,634300.92609199998,5106916.52828999980,653.00000
637875.97433677455,5096771.8575689215,637875.97433700005,5096771.85757000000,1562.00000
636056.18906062015,5112400.5085090268,636056.18906100001,5112400.50851000010,746.00000
636866.9164952212,5108777.9189203372,636866.91649500001,5108777.91892000010,1240.00000
632795.00827205763,5110999.1075651338,632795.00827200001,5110999.10757000000,2157.00000
633402.19440742687,5109969.6372660175,633402.19440699997,5109969.63726999980,1782.00000
636141.39890670462,5096195.0024736114,636141.39890699997,5096195.00246999970,1805.00000
634073.84704623837,5098301.4638065435,634073.84704599995,5098301.46380999960,740.00000
633310.70365177945,5100692.286723854,633310.70365200005,5100692.28672000020,540.00000
638806.47653653868,5097568.4408314377,638806.47653700004,5097568.44082999970,1514.00000
631179.57025621645,5099692.9608969502,631179.57025600004,5099692.96090000030,1183.00000
635931.82844065106,5101230.4458236257,635931.82844099996,5101230.44582000000,731.00000
636677.99102649372,5114385.4641485363,636677.99102600000,5114385.46415000040,946.00000
643032.07248034643,5096791.870085205,643032.07247999997,5096791.87009000030,619.00000
633592.90337595495,5104796.7700482067,633592.90337600000,5104796.77005000040,612.00000
633218.90267723706,5102363.4364785301,633218.90267700003,5102363.43647999970,814.00000
